Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
BUS  460  01W Advertising,P Carstens,TR,9:30 AM,10:50 AM,Stuart Hall,1
BUS  470  01W Strategic Management,P Carstens,TR,12:30 PM,1:50 PM,Stuart Hall,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Business Administration,,,,,,
BUS  494  01 Internship in Business,R Kuennen,,12:00 AM,12:00 AM,Arranged,1
BUS  494  02 Internship in Business,C Melcher,,12:00 AM,12:00 AM,Arranged,1
BUS  494  03 Internship in Business,P Carstens,,12:00 AM,12:00 AM,Arranged,1
BUS  494  04 Internship in Business,R Baranowski,,12:00 AM,12:00 AM,Arranged,1
BUS  495  01 Investment Analysis,J Chen,MWF,10:00 AM,10:50 AM,Stuart Hall,1
Crimson Fellows Program,,,,,,
CFP  104  01 Topics in Fellow:Knowledge &Enquiry,G Chaplin,W,3:00 PM,4:20 PM,Struve Comm Ctr,0.2
meets first 7 weeks,,,,,,
CFP  104  02 Topics CFP:Leadership in Society,G Chaplin,W,3:00 PM,4:20 PM,Struve Comm Ctr,0.2
meets second 7 weeks,,,,,,
CFP  301  01W Communicating Across Disciplines I,A Carr,MW,2:00 PM,3:20 PM,Struve Comm Ctr,0.5
meets first 7 weeks,,,,,,
CFP  302  01W Communicating Across Disciplines II,A Carr,MW,2:00 PM,3:20 PM,Struve Comm Ctr,0.5
meets second 7 weeks,,,,,,
CFP  01  01 Action Research I,D Westberg,T,9:30 AM,11:00 AM,Struve Comm Ctr,0.5
CFP  01  02 Action Research I,D Westberg,,12:00 AM,12:00 AM,Arranged,0.5
Chemistry,,,,,,
CHM  103  01 Selected Concepts in Chemistry,S Ibrahim,MWF,1:00 PM,1:50 PM,Athletics and Recrea,
CHM  103L 01 Selected Concepts in Chemistry Lab,S Ibrahim,R,9:00 AM,10:50 AM,Peterson Hall,0
CHM  121  01 General Chemistry I,C Stead,MWF,9:00 AM,9:50 AM,Athletics and Recrea,1
