Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
POL  258  01W World Politics,L Barrow,MWF,2:00 PM,2:50 PM,Hickok Hall,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Political Science,,,,,,
POL  284  01W Topics: Comparative Environmental P,L Barrow,TR,2:00 PM,3:20 PM,Hickok Hall,1
POL  325  01W The American Congress,B Nesmith,MWF,12:00 PM,12:50 PM,Hickok Hall,1
POL  350  01W US Social Policy Process,K Lanegran,TR,9:30 AM,10:50 AM,Hickok Hall,1
POL  435  01W Ancient & Medieval Pol Thry,B Nesmith,TR,12:30 PM,1:50 PM,Hickok Hall,1
POL  444  01 Ind Study-Pol Sci,K Lanegran,,12:00 AM,12:00 AM,Arranged,1
Public Relations,,,,,,
PR205  01W Public Relations,T Nagel,TR,9:30 AM,10:50 AM,Hickok Hall,1
PR494  01 Internship in Public Relations,P Carstens,,12:00 AM,12:00 AM,Arranged,1
Psychology,,,,,,
PSY  100  01 Introductory Psychology,A Vyas,MWF,12:00 PM,12:50 PM,Stuart Hall,1
PSY  100  02 Introductory Psychology,E Lee,MWF,9:00 AM,9:50 AM,Stuart Hall,1
PSY  100  03 Introductory Psychology,E Lee,MWF,10:00 AM,10:50 AM,Stuart Hall,1
PSY  100  04 Introductory Psychology,A Vyas,TR,9:30 AM,10:50 AM,Stuart Hall,1
PSY  100  05 Introductory Psychology,C Stephenson,MWF,9:00 AM,9:50 AM,Stuart Hall,1
PSY  200  01W Research Methods,K Recker,MWF,9:00 AM,9:50 AM,Stuart Hall,1
PSY  200  02W Research Methods,K Recker,MWF,10:00 AM,10:50 AM,Stuart Hall,1
PSY  205  01 Developmental Psychology,K Recker,TR,9:30 AM,10:50 AM,Stuart Hall,1
PSY  235  01 Abnormal Psychology,C Stephenson,MWF,8:00 AM,8:50 AM,Stuart Hall,1
PSY  250  01 Introduction to Biopsychology,M Baker,MWF,10:00 AM,10:50 AM,Stuart Hall,1
PSY  250  02 Introduction to Biopsychology,A Vyas,MWF,2:00 PM,2:50 PM,Stuart Hall,1
PSY  295  01W Applied Contemporary Psychology,S Farrell,MW,2:00 PM,3:20 PM,Stuart Hall,1
PSY  300  01 Stat Methods and Data Analysis,S Kelly,MWF,8:00 AM,8:50 AM,Stuart Hall,1
PSY  300  02 Stat Methods and Data Analysis,S Kelly,MWF,9:00 AM,9:50 AM,Stuart Hall,1
PSY  350  01 Drugs & Behavior,M Baker,MWF,12:00 PM,12:50 PM,Stuart Hall,1
PSY  15  01 Counseling Psychology,S Brown,TR,12:30 PM,1:50 PM,Stuart Hall,1
PSY  455  01 Advanced Experimental Psychology,B Chihak,TR,9:30 AM,10:50 AM,Stuart Hall,1
PSY  464  01W Seminar in Psychology: Addiction,M Baker,TR,12:30 PM,1:50 PM,Stuart Hall,1
PSY  465  01 Industrial Psychology,E Lee,TR,11:00 AM,12:20 PM,Struve Comm Ctr,1
PSY  490  01 Memory & Cognition,B Chihak,MW,2:00 PM,3:20 PM,Stuart Hall,1
PSY  490L 01W Memory and Cognition Laboratory,B Chihak,TR,2:00 PM,3:20 PM,Stuart Hall,0
PSY  494  01 Internship in Psychology,S Brown,TR,8:00 AM,9:20 AM,Stuart Hall,1
Religion,,,,,,
REL  103  01W Belief & Unbelief,G Chaplin,TR,9:30 AM,10:50 AM,Hickok Hall,1
REL  105  01W Introduction to Hebrew Bible,M Kensky,MWF,1:00 PM,1:50 PM,Hickok Hall,1
REL  106  01 Eastern Religions,C Hatchell,MWF,9:00 AM,9:50 AM,Hickok Hall,1
REL  116  01 Buddhism,C Hatchell,MWF,12:00 PM,12:50 PM,Hickok Hall,1
REL  217  01W Religion in America,M Kensky,MWF,10:00 AM,10:50 AM,Hickok Hall,1
REL  385  01W Adv Topics:Tantra:Sex&Death inAsian,C Hatchell,TR,9:30 AM,10:50 AM,Hickok Hall,1
Rhetoric,,,,,,
RHE  105  01W Reading/Writing Workshop-Wrtg Emphs,A Drexler,MWF,9:00 AM,9:50 AM,Struve Comm Ctr,1
RHE  137  01W Creative Nonfiction & Amer Culture,J Nesmith,TR,9:30 AM,10:50 AM,Struve Comm Ctr,1
RHE  200  01 Rhetorical Theory and Practice,A Spikes,MWF,9:00 AM,9:50 AM,Hickok Hall,1
RHE  225  01W Journalism/Media Wtg Wksp,S Harmsen,MWF,10:00 AM,10:50 AM,Struve Comm Ctr,1
RHE  312  01W Writing Center Theory and Practice,J Nesmith,R,8:30 AM,9:20 AM,Struve Comm Ctr,0.3
RHE  312  02W Writing Center Theory and Practice,J Nesmith,W,12:00 PM,12:50 PM,Struve Comm Ctr,0.3
RHE  312  03W Topics:Writing Center Theory & Prac,J Nesmith,,12:00 AM,12:00 AM,Arranged,0.3
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Rhetoric,,,,,,
RHE  377  01 Cultural Studies,A Carr,TR,2:00 PM,3:20 PM,Struve Comm Ctr,1
Social and Criminal Justic,,,,,,
SCJ  101  01 Intro to Social & Criminal Justice,N McNabb,MWF,1:00 PM,1:50 PM,Stuart Hall,1
SCJ  101  02 Intro to Social & Criminal Justice,N McNabb,MWF,2:00 PM,2:50 PM,Stuart Hall,1
SCJ  190  01 Topics in SCJ: Crime in Literature,N McNabb,TR,9:30 AM,10:50 AM,Hickok Hall,1
SCJ  490  01 Social & Criminal Just Colloquium,N McNabb,,12:00 AM,12:00 AM,Arranged,0
SCJ  494  01 Internship in Social and Criminal J,N McNabb,,12:00 AM,12:00 AM,Arranged,1
Skills Development,,,,,,
SKD  120  01 Concepts of Individualized Learning,M McIllece,,12:00 AM,12:00 AM,Arranged,0
SKD  125  01 College Foundations,M McIllece,T,11:00 AM,12:20 PM,Stewart Mem Lib,0.3
SKD  125  02 College Foundations,S Pikora,R,12:30 PM,1:50 PM,Stewart Mem Lib,0.3
SKD  130  01 Personal Finance for College Studen,M Knudson,TR,9:30 AM,10:50 AM,Stuart Hall,0.5
meets second 7 weeks,,,,,,
Sports Management,,,,,,
SMT  100  01 Introduction to Sports Management,J Chandler,MWF,1:00 PM,1:50 PM,Eby Fieldhouse,1
Sociology,,,,,,
SOC  107  01 Introductory Sociology,L Barnett,MWF,9:00 AM,9:50 AM,Stuart Hall,1
SOC  107  02 Introductory Sociology,L Barnett,MWF,10:00 AM,10:50 AM,Stuart Hall,1
SOC  107  03 Introductory Sociology,K Rodgers,MW,3:00 PM,4:20 PM,Stuart Hall,1
SOC  107  04 Introductory Sociology,A Boguslaw,TR,2:00 PM,3:20 PM,Stuart Hall,1
SOC  217  01 Sociology of Religion,A Boguslaw,MW,3:00 PM,4:20 PM,Stuart Hall,1
SOC  235  01W Methods of Sociological Research,L Barnett,TR,9:30 AM,10:50 AM,Stuart Hall,1
SOC  17  01 Sociology of Sex & Sexuality,K Rodgers,MWF,1:00 PM,1:50 PM,Hickok Hall,1
SOC  450  01W Sociological Theory,A Boguslaw,TR,11:00 AM,12:20 PM,Stuart Hall,1
SOC  464  01W Capstone Seminar in Sociology,K Rodgers,TR,2:00 PM,3:20 PM,Stuart Hall,1
Spanish,,,,,,
SPA  115  01 Elementary Spanish I,E Munoz Perez,MWF,3:00 PM,3:50 PM,Hickok Hall,1
SPA  215  01 Intermediate Spanish I,E Munoz Perez,MWF,2:00 PM,2:50 PM,Hickok Hall,1
SPA  225  01 Intermediate Spanish II,F Lynch,MWF,2:00 PM,2:50 PM,Hickok Hall,1
SPA  315  01 Spanish Composition & Conversation,L Rodriguez Moreno,MWF,9:00 AM,9:50 AM,Hickok Hall,1
SPA  315  02 Spanish Composition & Conversation,M Torres Mendez,MWF,12:00 PM,12:50 PM,Hickok Hall,1
SPA  339  01 Spanish for Health Care,F Lynch,MWF,1:00 PM,1:50 PM,Hickok Hall,1
SPA  345  01 Introduction to Hispanic Literature,L Rodriguez Moreno,MWF,1:00 PM,1:50 PM,Hickok Hall,1
SPA  16  01 Spanish Amer Short Story-Fantasy,M Torres Mendez,MWF,11:00 AM,11:50 AM,Hickok Hall,1
SPA  476  01W Topics in Hisp Lit:Latin Am:,M Torres Mendez,MWF,10:00 AM,10:50 AM,Hickok Hall,1
Statistics,,,,,,
STA  100  01 Statistical Reasoning I-Foundations,G Cross,MWF,9:00 AM,9:50 AM,Stuart Hall,0.5
STA  100  02 Statistical Reasoning I-Foundations,G Cross,TR,9:30 AM,10:50 AM,Stuart Hall,0.5
STA  100  03 Statistical Reasoning I-Foundations,G Cross,T,2:00 PM,3:20 PM,Stuart Hall,0.5
,G Cross,R,2:00 PM,3:20 PM,Stuart Hall,
STA  110  01 Stats IIA: Inferential Reasoning,G Cross,MWF,9:00 AM,9:50 AM,Stuart Hall,0.5
STA  110  02 Stats IIA: Inferential Reasoning,G Cross,TR,9:30 AM,10:50 AM,Stuart Hall,0.5
STA  110  03 Stats IIA: Inferential Reasoning,G Cross,T,2:00 PM,3:20 PM,Stuart Hall,0.5
,G Cross,R,2:00 PM,3:20 PM,Stuart Hall,
STA  315  01 Probability & Statistics I,G Cross,MWF,10:00 AM,10:50 AM,Stuart Hall,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Theatre Arts,,,,,,
THE  100  01 Introduction to Theatre,K Hahn,MWF,12:00 PM,12:50 PM,Hickok Hall,1
THE  102  01 Theatre Production Lab,E Ganfield,MW,1:00 PM,2:50 PM,Dows Center,0.25
THE  102  02 Theatre Production Lab,B Schmidt,MW,1:00 PM,2:50 PM,Dows Center,0.25
THE  102  03 Theatre Production Lab,E Ganfield,MW,3:00 PM,4:50 PM,Dows Center,0.25
THE  102  04 Theatre Production Lab,B Schmidt,MW,3:00 PM,4:50 PM,Dows Center,0.25
THE  102  05 Theatre Production Lab,E Ganfield,T,9:30 AM,12:50 PM,Dows Center,0.25
THE  102  06 Theatre Production Lab,B Schmidt,T,1:00 PM,4:50 PM,Dows Center,0.25
THE  102  07 Theatre Production Lab,E Ganfield,R,9:30 AM,12:50 PM,Dows Center,0.25
THE  102  08 Theatre Production Lab,B Schmidt,R,1:00 PM,4:50 PM,Dows Center,0.25
THE  102  09 Theatre Production Lab,B Schmidt,,12:00 AM,12:00 AM,Arranged,A0.25
THE  130  01 Technical Production I,B Schmidt,TR,9:30 AM,10:50 AM,Dows Center,1
THE  150  01 Acting I,L Charipar,TR,2:00 PM,3:20 PM,Mills Theater,1
THE  170  01 Voice & Diction,K Hahn,MWF,10:00 AM,10:50 AM,Mills Theater,1
THE  185  01 Production and Performance,D Barnett,,12:00 AM,12:00 AM,Arranged,1
THE  228  01W History of Theatre and Drama I,D Barnett,MWF,10:00 AM,10:50 AM,Hickok Hall,1
THE  288  01W History of Dress,E Ganfield,TR,2:00 PM,3:20 PM,Hickok Hall,1
THE  464  01W Senior Seminar,D Barnett,TR,9:30 AM,10:50 AM,Dows Center,1
Washington Term,,,,,,
WSH  284  01 Top Washington DC:Politics&Communic,B Nesmith,,12:00 AM,12:00 AM,Arranged,1
"WSH  286  01 Topics in Washington, D.C:NWP",B Nesmith,,12:00 AM,12:00 AM,Arranged,1
WSH  464  01 Internship Seminar,B Nesmith,,12:00 AM,12:00 AM,Arranged,1
WSH  494  01 Washington Experience,B Nesmith,,12:00 AM,12:00 AM,Arranged,A2.00
